dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1704067200,3,1588.82,0.99,33.59,18.24,12.99,40.5,54.96,17.23
1704070800,3,1214.98,1.58,41.47,12.7,27.89,29.36,38.6,10.26
1704074400,3,1161.58,1.96,46.61,5.36,35.29,25.13,34.36,11.15
1704078000,2,1014.71,2.57,45.93,2.79,41.48,22.2,31.53,12.03
1704081600,2,720.98,0.37,31.19,16.99,31.95,13.06,18.61,7.47
1704085200,2,600.81,0.06,19.71,30.4,21.93,9.05,12.88,5.89
1704088800,1,567.44,0.06,14.39,38.27,16.21,8.23,11.32,5.45
1704092400,1,587.46,0.08,14.57,39.34,15.74,7.93,10.69,5.26
1704096000,1,647.54,0.09,17.65,36.12,17.4,8.51,11.59,5.57
1704099600,1,741.0,0.1,21.08,32.9,17.4,9.8,13.2,5.95
1704103200,2,1588.82,1.42,39.76,13.77,14.9,18.96,26.79,10.77
1704106800,3,2750.4,15.2,50.72,0.36,17.17,33.03,47.97,16.97
1704110400,4,3578.19,32.19,49.35,0.0,20.27,50.94,75.19,24.32
1704114000,4,3791.81,37.55,45.24,0.0,20.03,65.98,100.95,30.65
1704117600,5,3845.21,39.79,41.47,0.0,19.07,79.58,123.39,33.94
1704121200,5,4112.24,44.26,39.41,0.0,19.31,95.2,146.0,34.45
1704124800,5,4699.71,54.54,39.76,0.0,22.89,113.41,165.61,30.91
1704128400,5,5554.2,63.48,44.55,0.0,26.23,125.64,170.38,24.07
1704132000,5,5928.04,59.01,52.09,0.0,25.99,124.74,158.77,18.49
1704135600,5,5554.2,43.36,60.32,0.0,23.13,113.58,137.84,14.82
1704139200,5,5554.2,42.92,61.01,0.0,20.27,124.24,146.64,14.19
1704142800,5,5447.39,43.81,58.26,0.0,18.6,138.09,159.79,14.69
1704146400,5,5340.58,45.15,54.84,0.0,18.6,146.17,167.16,15.2
1704150000,5,5287.17,47.83,52.78,0.0,21.46,153.22,173.51,14.82
